palabra1,palabra2,idioma1,idioma2,dist_euclidiana,dist_coseno,sim_ort,comparten_inicial,diff_len,label
august,december,en,en,0.34974658,0.938838029,0,0,2,O
august,march,en,en,0.343819735,0.940894997,0.181818182,0,1,O
december,march,en,en,0.240331438,0.971120826,0.153846154,0,3,O
family,relatives,en,en,0.905978112,0.589564025,0.266666667,0,3,O
family,parents,en,en,0.999853444,0.500127727,0.153846154,0,1,O
relatives,parents,en,en,0.895176971,0.599295863,0.5,0,2,O
several,different,en,en,1.000369802,0.49961055,0.25,0,2,O
different,various,en,en,0.782306385,0.693985244,0.125,0,2,O
several,various,en,en,0.666900427,0.777618236,0.142857143,0,0,O
especially,several,en,en,1.03227895,0.467214042,0.470588235,0,3,O
especially,various,en,en,1.002190496,0.497818387,0.117647059,0,3,O
depend,different,en,en,1.024678901,0.47498504,0.533333333,1,3,O
depend,instance,en,en,1.018135315,0.481685142,0.142857143,0,2,O
different,instance,en,en,0.998662681,0.501319203,0.235294118,0,1,O
dollar,million,en,en,0.995779564,0.504234613,0.307692308,0,1,O
dollar,billion,en,en,0.944614334,0.553859406,0.307692308,0,1,O
million,billion,en,en,0.505073757,0.872457426,0.857142857,0,0,O
policy,violation,en,en,0.980667997,0.519128502,0.4,0,3,O
policy,ignore,en,en,1.045915317,0.453040439,0.166666667,0,0,O
violation,ignore,en,en,1.006877743,0.493086812,0.266666667,0,3,O
actually,instance,en,en,0.95360464,0.54531054,0.25,0,0,O
actually,imagine,en,en,0.878935993,0.613727235,0.133333333,0,1,O
instance,imagine,en,en,0.975615688,0.524083753,0.4,1,1,O
actually,absolutely,en,en,0.914049178,0.582236956,0.444444444,1,2,O
absolutely,imagine,en,en,0.936949935,0.561046546,0.235294118,0,3,O
realize,actually,en,en,0.846045099,0.642099642,0.266666667,0,1,O
realize,imagine,en,en,0.905971385,0.589608013,0.142857143,0,0,O
realize,fortunately,en,en,0.905358813,0.590138222,0.333333333,0,4,O
actually,fortunately,en,en,0.936625064,0.561330759,0.526315789,0,3,O
despite,ultimately,en,en,0.953185302,0.545707515,0.352941176,0,3,O
despite,finally,en,en,1.036708411,0.462614039,0.142857143,0,0,O
finally,ultimately,en,en,0.798632863,0.681094799,0.470588235,0,3,O
despite,fortunately,en,en,1.006293968,0.493643568,0.222222222,0,4,O
fortunately,finally,en,en,0.909214452,0.586642692,0.555555556,1,4,O
fortunately,ultimately,en,en,0.95629862,0.542714084,0.571428571,0,1,O
minutes,minute,en,en,0.688739987,0.762833047,0.923076923,1,1,O
minutes,hour,en,en,0.776759564,0.698344644,0.181818182,0,3,O
minute,hour,en,en,0.838505474,0.648456727,0.2,0,2,O
immediately,ultimately,en,en,0.978177428,0.521583006,0.666666667,0,1,O
immediately,finally,en,en,0.814770845,0.668079192,0.444444444,0,4,O
immediately,fortunately,en,en,0.991126576,0.508803482,0.454545455,0,0,O
remove,disappear,en,en,1.025947523,0.473721977,0.133333333,0,3,O
remove,ignore,en,en,0.908652315,0.587192016,0.333333333,0,0,O
disappear,ignore,en,en,1.009695692,0.490257807,0.266666667,0,3,O
insist,remove,en,en,1.025396114,0.474278428,0,0,0,O
insist,ignore,en,en,0.839130145,0.647924548,0.333333333,1,0,O
flower,garden,en,en,0.97749955,0.522243448,0.166666667,0,0,O
flower,vegetable,en,en,1.03275425,0.466729141,0.266666667,0,3,O
garden,vegetable,en,en,1.027321405,0.472310809,0.4,0,3,O
argument,insist,en,en,0.940897981,0.557366658,0.285714286,0,2,O
argument,ignore,en,en,0.94938527,0.549365767,0.285714286,0,2,O
interesting,curious,en,en,0.832321248,0.653615204,0.222222222,0,4,O
interesting,bizarre,en,en,0.989358797,0.510568632,0.333333333,0,4,O
curious,bizarre,en,en,0.882930569,0.610204622,0.142857143,0,0,O
discuss,invite,en,en,0.930692495,0.566914212,0.153846154,0,1,O
discuss,decide,en,en,0.921400581,0.575525314,0.307692308,1,1,O
invite,decide,en,en,0.915202245,0.581197033,0.333333333,0,0,O
discuss,engage,en,en,0.989766584,0.510191515,0,0,1,O
invite,engage,en,en,1.008432462,0.491518533,0.333333333,0,0,O
